p,word1,word2,word1_binary,word2_binary,experimental,nr
1,Bladzijde,Bladzijtje,0,1,0,1
2,Bladzijde,Bladzijdetje,0,0,0,1
3,Bladzijde,Bladzijtje,0,1,0,1
4,Bladzijde,Bladzijdetje,0,0,0,1
5,Bladzijde,Bladzijdetje,0,0,0,1
6,Bladzijde,Bladzijdetje,0,0,0,1
7,Bladzijde,Bladzijtje,0,1,0,1
8,Bladzijde,Bladzijdetje,0,0,0,1
9,Bladzijde,Bladzijtje,0,1,0,1
10,Bladzijde,Bladzijdetje,0,0,0,1
11,Bladzijde,Bladzijdetje,0,0,0,1
12,Bladzijde,Bladzijtje,0,1,0,1
13,Bladzijde,Bladzijtje,0,1,0,1
14,Bladzijde,Bladzijdetje,0,0,0,1
15,Bladzijde,Bladzijdetje,0,0,0,1
16,Bladzijde,Bladzijdetje,0,0,0,1
17,Bladzijde,Bladzijdetje,0,0,0,1
18,Bladzijde,Bladzijdetje,0,0,0,1
19,Bladzijde,Bladzijdetje,0,0,0,1
20,Bladzijde,Bladzijtje,0,1,0,1
21,Bladzijde,Bladzijtje,0,1,0,1
22,Bladzijde,Bladzijdetje,0,0,0,1
23,Bladzijde,Bladzijdetje,0,0,0,1
24,Bladzijde,Bladzijtje,0,1,0,1
1,Giraffe,Girafje,0,1,0,2
2,Giraffe,Girafje,0,1,0,2
3,Giraf,Girafje,1,1,0,2
4,Giraf,Girafje,1,1,0,2
5,Giraf,Girafje,1,1,0,2
6,Giraf,Girafje,1,1,0,2
7,Giraf,Girafje,1,1,0,2
8,Giraffe,Giraffetje,0,0,0,2
9,Giraf,Girafje,1,1,0,2
10,Giraf,Giraffetje,1,0,0,2
11,Giraffe,Girafje,0,1,0,2
12,Giraffe,Girafje,0,1,0,2
13,Giraf,Girafje,1,1,0,2
14,Giraffe,Girafje,0,1,0,2
15,Giraffe,Girafje,0,1,0,2
16,Giraf,Girafje,1,1,0,2
17,Giraffe,Girafje,0,1,0,2
18,Giraffe,Giraffetje,0,0,0,2
19,Giraf,Girafje,1,1,0,2
20,Giraffe,Girafje,0,1,0,2
21,Giraffe,Girafje,0,1,0,2
22,Giraffe,Girafje,0,1,0,2
23,Giraffe,Girafje,0,1,0,2
24,Giraffe,Girafje,0,1,0,2
1,Krab,Krabbetje,1,0,0,3
2,Krab,Krabbetje,1,0,0,3
3,Krab,Krabbetje,1,0,0,3
4,Krab,Krabje,1,1,0,3
5,Krab,Krabje,1,1,0,3
6,Krab,Krabje,1,1,0,3
7,Krab,Krabbetje,1,0,0,3
8,Krab,Krabje,1,1,0,3
9,Krab,Krabje,1,1,0,3
10,Krab,Krabbetje,1,0,0,3
11,Krab,Krabbetje,1,0,0,3
12,Krab,Krabbetje,1,0,0,3
13,Krab,Krabbetje,1,0,0,3
14,Krab,Krabbetje,1,0,0,3
15,Krab,Krabbetje,1,0,0,3
16,Krab,Krabbetje,1,0,0,3
17,Krab,Krabbetje,1,0,0,3
18,Krab,Krabbetje,1,0,0,3
19,Krab,Krabbetje,1,0,0,3
20,Krab,Krabbetje,1,0,0,3
21,Krab,Krabbetje,1,0,0,3
22,Krab,Krabbetje,1,0,0,3
23,Krab,Krabbetje,1,0,0,3
24,Krab,Krabbetje,1,0,0,3
1,Synagoge,Synagoogje,0,1,0,4
2,Synagoge,Synagogetje,0,0,0,4
3,Synagoge,Synagoogje,0,1,0,4
4,Synagoge,Synagoogje,0,1,0,4
5,Synagoog,Synagoogje,1,1,0,4
6,Synagoog,Synagoogje,1,1,0,4
